Station	Latitude	Longitude	Area
02CD006	46.512	-82.600	157.00
02CD007	46.353	-82.644	4.58
02CD008	46.388	-82.582	2.09
02CD009	46.387	-82.572	2.76
02CD010	46.382	-82.579	3.01
02CE001	46.268	-81.772	11400.00
02CE002	46.215	-82.071	1340.00
02CE002	46.215	-82.071	1340.00
02CE002	46.215	-82.071	1340.00
02CE003	46.264	-81.874	NA
02CE004	46.381	-81.569	6800.00
02CE007	46.430	-81.600	40.60
02CE007	46.430	-81.600	40.60
02CE103	46.408	-81.578	41.20
02CF001	46.394	-81.282	3600.00
02CF001	46.394	-81.282	3600.00
02CF002	46.333	-81.350	4070.00
02CF004	46.315	-81.522	4190.00
02CF005	46.479	-81.010	87.00
02CF005	46.479	-81.010	87.00
02CF007	46.583	-81.199	277.00
02CF007	46.583	-81.199	277.00
02CF008	46.610	-81.033	179.00
02CF008	46.610	-81.033	179.00
02CF009	46.498	-81.007	21.50
02CF009	46.498	-81.007	21.50
02CF010	46.599	-81.382	1650.00
02CF010	46.599	-81.382	1650.00
02CF011	46.685	-81.009	680.00
02CF011	46.685	-81.009	680.00
02CF011	46.685	-81.009	680.00
02CF012	46.427	-81.098	199.00
02CF012	46.427	-81.098	199.00
02CF013	46.636	-81.391	40.60
02CF013	46.636	-81.391	40.60
02CF014	46.819	-80.957	541.00
02CF014	46.819	-80.957	541.00
02CF100	46.715	-80.950	635.00
02CG001	45.900	-82.267	243.00
02CG002	45.981	-81.924	NA
02CG003	45.652	-81.987	17.90
02CG003	45.652	-81.987	17.90
02CG004	45.694	-82.335	63.10
02CG004	45.694	-82.335	63.10
02CG005	45.750	-82.185	157.00
02CH001	46.119	-81.728	930.00
02CH002	46.274	-81.345	624.00
02DA001	46.664	-80.673	2540.00
02DA002	46.656	-80.768	NA
02DB001	46.522	-80.710	2770.00
02DB002	46.317	-80.838	3240.00
02DB003	46.472	-80.819	2820.00
02DB004	46.479	-80.819	64.80
02DB005	46.346	-80.840	3150.00
02DB005	46.346	-80.840	3150.00
02DB005	46.346	-80.840	3150.00
02DB006	46.521	-80.711	2750.00
02DB007	46.475	-80.822	59.00
02DB007	46.475	-80.822	59.00
02DB008	46.160	-80.923	NA
02DC001	46.450	-79.867	6660.00
02DC002	46.450	-79.867	6660.00
02DC003	46.450	-79.863	6660.00
02DC004	46.637	-80.263	3010.00
02DC004	46.637	-80.263	3010.00
02DC005	46.596	-80.187	2460.00
02DC006	46.501	-79.893	570.00
02DC007	46.778	-79.979	1360.00
02DC008	46.679	-79.995	2360.00
02DC009	46.712	-79.737	298.00
02DC010	47.063	-79.796	NA
02DC011	46.937	-80.431	1800.00
02DC012	46.970	-80.459	1200.00
02DC012	46.970	-80.459	1200.00
02DC013	46.428	-79.662	164.00
02DC013	46.428	-79.662	164.00
02DD001	46.094	-79.396	761.00
02DD002	45.963	-79.406	420.00
02DD004	46.021	-80.573	13900.00
02DD005	46.097	-79.479	787.00
02DD006	46.312	-79.474	NA
02DD007	46.125	-80.015	12300.00
02DD008	46.331	-79.506	90.40
02DD009	45.848	-79.379	316.00
02DD010	46.069	-80.612	13900.00
02DD010	46.069	-80.612	13900.00
02DD010	46.069	-80.612	13900.00
02DD012	46.408	-80.123	741.00
02DD012	46.408	-80.123	741.00
02DD013	46.263	-79.395	68.60
02DD013	46.263	-79.395	68.60
02DD014	46.312	-79.448	35.60
02DD014	46.312	-79.448	35.60
02DD014	46.312	-79.448	35.60
02DD015	45.949	-79.607	104.00
02DD015	45.949	-79.607	104.00
02DD016	46.121	-80.018	NA
02DD016	46.121	-80.018	NA
02DD017	46.121	-80.027	NA
02DD017	46.121	-80.027	NA
02DD018	46.142	-80.114	NA
02DD019	46.144	-80.128	NA
02DD020	46.123	-80.079	NA
02DD020	46.123	-80.079	NA
02DD021	46.126	-80.012	NA
02DD022	45.920	-80.242	NA
02DD023	45.840	-79.357	NA
02DD024	46.178	-79.310	301.00
02DD024	46.178	-79.310	301.00
02DD025	46.035	-80.760	1.55
02DD026	46.106	-80.265	199.00
02DD026	46.106	-80.265	199.00
02DD027	46.120	-80.018	NA
02DD028	45.985	-80.410	NA
02DD029	46.017	-80.604	NA
02DD030	46.006	-80.540	NA
02DD031	45.995	-80.478	NA
02EA001	45.403	-79.907	984.00
02EA005	45.669	-79.379	329.00
02EA005	45.669	-79.379	329.00
02EA006	45.618	-79.388	650.00
02EA007	45.772	-80.481	2800.00
02EA008	45.707	-79.877	1850.00
02EA009	45.682	-80.469	46.60
02EA010	45.704	-79.309	155.00
02EA010	45.704	-79.309	155.00
02EA010	45.704	-79.309	155.00
02EA010	45.704	-79.309	155.00
02EA010	45.704	-79.309	155.00
02EA010	45.704	-79.309	155.00
02EA011	45.773	-80.482	2840.00
02EA011	45.773	-80.482	2840.00
02EA011	45.773	-80.482	2840.00
02EA012	45.549	-80.285	235.00
02EA013	45.688	-80.439	35.50
02EA014	45.339	-80.036	NA
02EA015	45.665	-79.641	NA
02EA016	45.572	-79.367	NA
02EA017	45.665	-79.642	NA
02EA018	45.557	-79.288	403.00
02EA018	45.557	-79.288	403.00
02EA019	45.669	-79.745	NA
02EA020	45.718	-79.417	NA
02EA021	45.559	-80.038	70.40
02EA021	45.559	-80.038	70.40
02EB002	44.983	-79.251	1730.00
02EB003	44.989	-79.202	1710.00
02EB004	45.213	-79.275	1410.00
02EB004	45.213	-79.275	1410.00
02EB005	45.025	-79.674	4840.00
02EB006	45.022	-79.678	4770.00
02EB007	45.183	-79.276	1440.00
02EB008	45.148	-79.114	1400.00
02EB008	45.148	-79.114	1400.00
02EB009	45.029	-79.697	NA
02EB010	45.016	-79.689	NA
02EB011	45.065	-79.790	4790.00
02EB011	45.065	-79.790	4790.00
02EB011	45.065	-79.790	4790.00
02EB012	45.023	-79.777	NA
02EB012	45.023	-79.777	NA
02EB012	45.023	-79.777	NA
02EB013	45.393	-79.160	610.00
02EB013	45.393	-79.160	610.00
02EB014	45.312	-78.989	605.00
02EB014	45.312	-78.989	605.00
02EB015	45.013	-79.614	NA
02EB016	45.324	-79.212	NA
02EB017	45.264	-78.814	NA
02EB018	45.070	-79.494	NA
02EB019	45.149	-79.113	1400.00
02EB020	45.120	-79.576	NA
02EB021	45.220	-79.276	NA
02EB022	45.542	-78.695	NA
02EB023	44.986	-79.829	NA
02EB103	45.239	-79.584	130.00
02EB104	44.932	-79.356	40.70
02EB105	45.179	-79.524	155.00
02EC001	44.776	-79.335	5390.00
02EC002	44.714	-79.282	1510.00
02EC002	44.714	-79.282	1510.00
02EC003	44.857	-79.542	5850.00
02EC004	44.754	-79.319	NA
02EC005	44.764	-79.330	NA
02EC006	44.741	-79.328	NA
02EC007	44.746	-79.325	NA
02EC008	44.261	-79.344	272.00
02EC008	44.261	-79.344	272.00
02EC009	44.095	-79.490	176.00
02EC009	44.095	-79.490	176.00
02EC009	44.095	-79.490	176.00
02EC010	44.012	-79.686	51.30
02EC010	44.012	-79.686	51.30
02EC011	44.397	-79.071	291.00
02EC011	44.397	-79.071	291.00
02EC012	44.305	-79.360	324.00
02EC013	44.749	-79.332	NA
02EC014	44.775	-79.297	5310.00
02EC014	44.775	-79.297	5310.00
02EC015	44.473	-79.167	NA
02EC016	44.770	-79.350	NA
02EC017	44.767	-79.333	3700.00
02EC018	44.268	-79.195	347.00
02EC018	44.268	-79.195	347.00
02EC019	44.993	-79.050	354.00
02EC019	44.993	-79.050	354.00
02EC020	44.497	-79.468	40.20
02EC020	44.497	-79.468	40.20
02EC021	44.138	-79.113	40.60
02EC021	44.138	-79.113	40.60
02EC022	44.726	-79.070	233.00
02EC022	44.726	-79.070	233.00
02EC023	44.752	-79.332	NA
02EC101	44.112	-79.122	24.30
02EC103	44.268	-79.195	332.00
02EC918	44.773	-79.353	NA
02ED001	44.196	-79.802	1080.00
02ED003	44.250	-79.821	1230.00
02ED003	44.250	-79.821	1230.00
02ED003	44.250	-79.821	1230.00
02ED003	44.250	-79.821	1230.00
02ED003	44.250	-79.821	1230.00
02ED003	44.250	-79.821	1230.00
02ED004	44.119	-79.762	207.00
02ED005	44.304	-80.002	295.00
02ED005	44.304	-80.002	295.00
02ED006	44.378	-80.098	NA
02ED007	44.707	-79.644	168.00
02ED007	44.707	-79.644	168.00
02ED007	44.707	-79.644	168.00
02ED008	44.377	-80.096	NA
02ED009	44.425	-79.644	94.80
02ED010	44.444	-79.730	127.00
02ED011	44.694	-79.883	168.00
02ED012	44.508	-80.220	NA
02ED013	44.650	-79.904	121.00
02ED013	44.650	-79.904	121.00
02ED013	44.650	-79.904	121.00
02ED014	44.200	-79.960	190.00
02ED014	44.200	-79.960	190.00
02ED015	44.307	-80.072	244.00
02ED015	44.307	-80.072	244.00
02ED015	44.307	-80.072	244.00
02ED016	44.592	-79.871	15.30
02ED017	44.726	-79.779	65.20
02ED017	44.726	-79.779	65.20
02ED017	44.726	-79.779	65.20
02ED018	44.730	-79.720	103.00
02ED018	44.730	-79.720	103.00
02ED019	44.764	-79.953	20.80
02ED019	44.764	-79.953	20.80
02ED020	44.759	-79.701	NA
02ED021	44.758	-79.699	NA
